zone_id,lat,lon,label_class,label,label_source,n_mineralized_obs,n_barren_obs,prospectivity_score
r08_c08,21.735,80.135,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.8674409
r08_c09,21.735,80.145,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.8852915
r08_c10,21.735,80.155,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.9467438
r08_c11,21.735,80.165,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.921357
r08_c12,21.735,80.175,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.8993799
r08_c13,21.735,80.185,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.9170924
r08_c14,21.735,80.195,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.8392081
r08_c15,21.735,80.205,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.83762926
r08_c16,21.735,80.215,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.9160423
r08_c17,21.735,80.225,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.88006085
r08_c18,21.735,80.235,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.81790376
r08_c19,21.735,80.245,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.635697
r08_c20,21.735,80.255,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.22197449
r08_c21,21.735,80.265,barren,0.0,REAL_GEOLOGICAL,0,1,0.01819565
r08_c22,21.735,80.275,barren,0.0,REAL_GEOLOGICAL,0,1,0.024446165
r08_c23,21.735,80.285,barren,0.0,REAL_GEOLOGICAL,0,1,0.036426928
r08_c24,21.735,80.295,barren,0.0,REAL_GEOLOGICAL,0,1,0.05528608
r08_c25,21.735,80.305,barren,0.0,REAL_GEOLOGICAL,0,1,0.040248577
r08_c26,21.735,80.315,barren,0.0,REAL_GEOLOGICAL,0,1,0.029262649
r08_c27,21.735,80.325,barren,0.0,REAL_GEOLOGICAL,0,1,0.2259276
r08_c28,21.735,80.335,barren,0.0,REAL_GEOLOGICAL,0,1,0.062395375
r08_c29,21.735,80.345,barren,0.0,REAL_GEOLOGICAL,0,1,0.18354984
r09_c00,21.745,80.055,barren,0.0,REAL_GEOLOGICAL,0,1,0.03173684
r09_c01,21.745,80.065,barren,0.0,REAL_GEOLOGICAL,0,1,0.020755384
r09_c02,21.745,80.075,barren,0.0,REAL_GEOLOGICAL,0,1,0.03422833
r09_c03,21.745,80.085,barren,0.0,REAL_GEOLOGICAL,0,1,0.047229208
r09_c04,21.745,80.095,barren,0.0,REAL_GEOLOGICAL,0,1,0.0425062
r09_c05,21.745,80.105,barren,0.0,REAL_GEOLOGICAL,0,1,0.7229171
r09_c06,21.745,80.115,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.8165973
r09_c07,21.745,80.125,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.76733154
r09_c08,21.745,80.135,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.649059
r09_c09,21.745,80.145,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.6861377
r09_c10,21.745,80.155,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.90737087
r09_c11,21.745,80.165,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.94974893
r09_c12,21.745,80.175,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.93957436
r09_c13,21.745,80.185,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.9415221
r09_c14,21.745,80.195,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.8485306
r09_c15,21.745,80.205,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.91736174
r09_c16,21.745,80.215,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.874811
r09_c17,21.745,80.225,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.7873417
r09_c18,21.745,80.235,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.8298854
r09_c19,21.745,80.245,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.889053
r09_c20,21.745,80.255,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.65480036
r09_c21,21.745,80.265,mineralized,1.0,REAL_GEOLOGICAL,1,0,0.48534507
r09_c22,21.745,80.275,barren,0.0,REAL_GEOLOGICAL,0,1,0.066969216
r09_c23,21.745,80.285,barren,0.0,REAL_GEOLOGICAL,0,1,0.19331954
r09_c24,21.745,80.295,barren,0.0,REAL_GEOLOGICAL,0,1,0.17189433
r09_c25,21.745,80.305,barren,0.0,REAL_GEOLOGICAL,0,1,0.092896976
r09_c26,21.745,80.315,barren,0.0,REAL_GEOLOGICAL,0,1,0.029059434
r09_c27,21.745,80.325,barren,0.0,REAL_GEOLOGICAL,0,1,0.045037974
r09_c28,21.745,80.335,barren,0.0,REAL_GEOLOGICAL,0,1,0.11347123
r09_c29,21.745,80.345,barren,0.0,REAL_GEOLOGICAL,0,1,0.18159541
r10_c00,21.755,80.055,barren,0.0,REAL_GEOLOGICAL,0,1,0.073152244
r10_c01,21.755,80.065,barren,0.0,REAL_GEOLOGICAL,0,1,0.04610808
r10_c02,21.755,80.075,barren,0.0,REAL_GEOLOGICAL,0,1,0.04348273
r10_c03,21.755,80.085,barren,0.0,REAL_GEOLOGICAL,0,1,0.04433969
r10_c04,21.755,80.095,barren,0.0,REAL_GEOLOGICAL,0,1,0.07938614
