zone_id,lat,lon,n_mineralized_obs,n_barren_obs,label_class,conflict,label,label_source,ndvi_mean,ndvi_std,sar_vv_mean,sar_vh_mean,lst_mean,rain_mean,elevation_m,slope_deg
r01_c22,21.665,80.275,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3838,0.1277,-9.5821,-16.6898,30.5769,1507.7052,290.0059,1.3687
r01_c23,21.665,80.285,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3538,0.119,-9.5464,-17.1949,30.3227,1507.7052,288.46,1.6852
r01_c24,21.665,80.295,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.382,0.1163,-9.3753,-16.5929,30.3548,1507.7052,290.1136,1.5519
r01_c25,21.665,80.305,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3451,0.1255,-9.7744,-16.8455,30.4262,1527.3668,293.9546,1.413
r01_c26,21.665,80.315,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3393,0.1499,-9.8471,-17.0746,30.3969,1528.1895,296.371,1.1359
r01_c27,21.665,80.325,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3407,0.1366,-9.7318,-17.0888,30.3796,1528.1895,296.9919,1.2816
r01_c28,21.665,80.335,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3008,0.1147,-10.2962,-17.8946,30.652,1528.1895,298.6083,1.6428
r01_c29,21.665,80.345,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3307,0.1229,-10.701,-18.2378,30.947,1528.8982,300.9095,1.7038
r02_c00,21.675,80.055,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3857,0.128,-9.6791,-16.7504,30.873,1473.0376,292.8875,0.9983
r02_c01,21.675,80.065,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3908,0.1204,-9.5672,-16.6309,30.8127,1473.0376,295.4934,1.409
r02_c02,21.675,80.075,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3902,0.129,-9.668,-16.7434,30.7503,1473.0376,292.273,1.1759
r02_c03,21.675,80.085,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3996,0.1351,-10.0366,-17.154,30.6573,1473.0376,293.2322,1.0911
r02_c04,21.675,80.095,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3885,0.1292,-9.7056,-16.9757,30.5627,1473.0376,297.2508,1.195
r02_c05,21.675,80.105,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.4066,0.1235,-10.5102,-17.4359,30.6515,1495.805,310.4042,3.6825
r02_c06,21.675,80.115,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3637,0.1182,-10.081,-17.4213,30.7937,1495.9823,313.3367,3.8491
r02_c07,21.675,80.125,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3856,0.1369,-9.7287,-16.8662,30.7798,1495.9823,301.209,1.1113
r02_c08,21.675,80.135,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.401,0.1451,-9.9605,-16.9393,30.8081,1495.9823,295.7578,1.3173
r02_c09,21.675,80.145,0,1,barren,False,0.0,REAL_GEOLOGICAL,0.3999,0.1332,-9.8782,-17.0141,30.9552,1495.9823,291.0985,1.2145
